Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GINI index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,,,,,,,,,,,,,,,48.1,,,,49.9,,,,,43.3,,,,,,39.8,,,,,35.3,,,
GINI index (World Bank estimate),SI.POV.GINI,Burundi,BDI,,,,,,,,,,,,,33.3,,,,,,42.3,,,,,,,,33.4,,,,,,,38.6,,,,
GINI index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.2,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,,,,,,,,,,,,,,,,,44.4,,,,,42.1,,,,,,42.8,,,,,,,46.6,,,
GINI index (World Bank estimate),SI.POV.GINI,Canada,CAN,,32.4,,,,,,31.5,,,,31,,,31.3,,,31.6,33.2,,33.3,,,,33.7,,,33.8,,,33.6,,,34,,,,
GINI index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,,,,,,,,,,,,,61.3,,,,,,,,,,,43.6,,,,,56.2,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,43.3,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Chile,CHL,,,,,,,,56.2,,,57.2,,54.8,,56.4,,54.9,,55.5,,52.8,,,51.5,,,48.2,,,49,,47.6,,47.3,,47.7,,
GINI index (World Bank estimate),SI.POV.GINI,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,,,,42.2,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Colombia,COL,,,,,,,,,,,,,51.5,,,,56.9,,,58.7,58.7,57.2,55.8,53.4,54.8,53.7,,,55.4,54.5,54.8,53.6,52.9,52.9,52.8,51.1,50.8,
GINI index (World Bank estimate),SI.POV.GINI,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,55.9,,,,,,,,,45.3,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,42.1,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,48.9,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,,47.5,,,,,34.4,,,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,
GINI index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,,,,,,45.5,38,40.5,36.9,,,,39.4,,,40.6,,,39,,,,41.3,,,,,,43.2,,,,,,,41.5,,
GINI index (World Bank estimate),SI.POV.GINI,Croatia,HRV,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,32.6,32.4,32.3,32.5,32,32.1,30.8,,
GINI index (World Bank estimate),SI.POV.GINI,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,,
GINI index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,,,,,,,,,,,,,,26.6,,,25.8,,,,,,,,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,,
GINI index (World Bank estimate),SI.POV.GINI,Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,,
GINI index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.1,44.1,,,,
GINI index (World Bank estimate),SI.POV.GINI,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,,,,,,,47.8,,,50.5,,,51.4,,,,47.4,48.9,,,52,50.4,50,52,52,49.9,51.8,48.6,47.8,48.5,46.9,47.4,45.6,47,44.1,44.7,45.3,
GINI index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,,,,,,,,50.5,,,,,,,53.4,,,,49.7,58.6,56.4,,,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45,
GINI index (World Bank estimate),SI.POV.GINI,"Egypt, Arab Rep.",EGY,,,,,,,,,,,32,,,,,30.1,,,,32.8,,,,,31.8,,,,31.1,,31.5,,29.8,,,31.8,,
GINI index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,,,,,,,,,,,,54,,,,49.9,51,,54.5,52.2,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,
GINI index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Estonia,EST,,,,,,,,,,,,,,39.5,,,,,,,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,,
GINI index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,,,,,,,,,,,,,,,,44.6,,,,30,,,,,29.8,,,,,,33.2,,,,,39.1,,
GINI index (World Bank estimate),SI.POV.GINI,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,40.4,,,,,36.4,,,,
GINI index (World Bank estimate),SI.POV.GINI,Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,,
GINI index (World Bank estimate),SI.POV.GINI,France,FRA,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,,
GINI index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,48.5,,,,,47.3,,,,,,,43.6,,,,,35.9,,
GINI index (World Bank estimate),SI.POV.GINI,Georgia,GEO,,,,,,,,,,,,,,,,,37.1,40.7,41.3,40.1,40.5,39.6,37.3,36.7,36.3,37.3,36.9,38.3,38.2,38.1,40.1,39.5,38.8,38.4,37.3,36.4,36.5,
GINI index (World Bank estimate),SI.POV.GINI,Germany,DEU,,,,,,,,,,,,29.2,,,29.2,,,,,,28.8,30.3,,,30.4,,31.3,31.3,,,30.2,30.5,,31.1,,31.7,,
GINI index (World Bank estimate),SI.POV.GINI,Ghana,GHA,,,,,,,,35.3,36,,,38.4,,,,,,,40.1,,,,,,,42.8,,,,,,,42.4,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.2,36.1,35.8,36,,
GINI index (World Bank estimate),SI.POV.GINI,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,,,,,,,58.3,,,59.6,,,,,,,,,,,54.2,,,,,,54.6,,,,,,,,48.3,,,
GINI index (World Bank estimate),SI.POV.GINI,Guinea,GIN,,,,,,,,,,,,46.8,,,46.1,,,,,,,,43,,,,,39.4,,,,,33.7,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,,,,,,,,,,,,,,43.6,,,,,,,,,35.6,,,,,,,,50.7,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Guyana,GUY,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Honduras,HND,,,,,,,,,,59.5,57.4,51.9,51.8,53.5,55,55.5,55.7,52.7,57.4,55.4,,55.2,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4,49.6,50,
GINI index (World Bank estimate),SI.POV.GINI,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Hungary,HUN,,,,,,,,21,,25,,,,27.9,,,,,,,,,,,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,,
GINI index (World Bank estimate),SI.POV.GINI,Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,25.6,,,
GINI index (World Bank estimate),SI.POV.GINI,India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Iran, Islamic Rep.",IRN,,,,,,,47.4,,,,43.6,,,,43,,,,44.1,,,,,,,43.6,44.8,,,42.1,,,,37.4,38.8,,,
GINI index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,29.5,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,32.9,33.6,33.7,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,,,
GINI index (World Bank estimate),SI.POV.GINI,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Israel,ISR,,,,,,,36.5,,,,,,35.5,,,,,38.1,,,,38.9,,,,41.7,,41,,,42.5,,41.4,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,,,
GINI index (World Bank estimate),SI.POV.GINI,Jamaica,JAM,,,,,,,,,43.2,,41.1,,,35.7,,,40.4,,,44.1,,,48.3,,45.5,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Jordan,JOR,,,,,,,36.1,,,,,,43.4,,,,,36.4,,,,,37,,,,33.9,,32.6,,33.7,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,35.4,,,,,36,34.9,33.8,32,39.9,30.3,30.1,28.5,28.2,28,28,28.1,27.1,27,26.9,,
GINI index (World Bank estimate),SI.POV.GINI,Kenya,KEN,,,,,,,,,,,,,57.5,,43.9,,,46.3,,,,,,,,48.5,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,32.3,,32,,31.6,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,29,,31.2,30.3,,,31.8,33.3,27.8,29,26.3,27.3,26.4,,
GINI index (World Bank estimate),SI.POV.GINI,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,46.4,,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,
GINI index (World Bank estimate),SI.POV.GINI,Lao PDR,LAO,,,,,,,,,,,,,34.3,,,,,34.9,,,,,32.6,,,,,35.4,,,,,36.4,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Latvia,LVA,,,,,,,,,,,,,,27,,31,31.6,,,,,,,,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,,
GINI index (World Bank estimate),SI.POV.GINI,Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Lesotho,LSO,,,,,,,56,,,,,,,,63.2,,,,,,,,51.6,,,,,,,,54.2,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,33.2,,,
GINI index (World Bank estimate),SI.POV.GINI,Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Lithuania,LTU,,,,,,,,,,,,,,33.6,,,,,,,,,,,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,,
GINI index (World Bank estimate),SI.POV.GINI,Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,,,
GINI index (World Bank estimate),SI.POV.GINI,"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Macedonia, FYR",MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,40.1,38.5,36.9,35.6,,,
GINI index (World Bank estimate),SI.POV.GINI,Madagascar,MDG,46.8,,,,,,,,,,,,,45.3,,,,39.5,,38.6,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Malawi,MWI,,,,,,,,,,,,,,,,,,65.8,,,,,,,39.9,,,,,,45.5,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Malaysia,MYS,,,,,48.6,,,47,,46.2,,,47.7,,,48.5,,49.1,,,,,,,46.1,,,46.1,,46.3,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,38.4,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Mali,MLI,,,,,,,,,,,,,,,50.4,,,,,,,39.9,,,,,38.9,,,33,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29.2,29,30.2,29,29.1,29.4,28.8,29,,,
GINI index (World Bank estimate),SI.POV.GINI,Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Mauritania,MRT,,,,,,,,43.9,,,,,,50.1,,37.7,,,,,39,,,,40.2,,,,35.7,,,,,,32.6,,,
GINI index (World Bank estimate),SI.POV.GINI,Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,35.8,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Mexico,MEX,,,,,48.9,,,,,,,,49.6,,50.3,,48.2,,48.7,,51.4,,49,,48.3,48.9,47.7,,44.6,,45.3,,45.4,,45.8,,43.4,
GINI index (World Bank estimate),SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,40.1,,,,
GINI index (World Bank estimate),SI.POV.GINI,Moldova,MDA,,,,,,,,,,,,,,,,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,
GINI index (World Bank estimate),SI.POV.GINI,Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Mongolia,MNG,,,,,,,,,,,,,,,,33.2,,,30.3,,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32,,32.3,
GINI index (World Bank estimate),SI.POV.GINI,Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30,31.4,30.5,31,28.9,30.8,32.3,32.4,31.9,,,
GINI index (World Bank estimate),SI.POV.GINI,Morocco,MAR,,,,,39.2,,,,,,39.2,,,,,,,,39.5,,40.6,,,,,,40.7,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Mozambique,MOZ,,,,,,,,,,,,,,,,,53.6,,,,,,47,,,,,,45.6,,,,,,54,,,
GINI index (World Bank estimate),SI.POV.GINI,Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,
GINI index (World Bank estimate),SI.POV.GINI,Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,61,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Nepal,NPL,,,,,,,,,,,,,,,,35.2,,,,,,,,43.8,,,,,,,32.8,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29,30,29.6,29.3,27.9,27.8,27.7,27.6,28.1,28.6,29.3,,
GINI index (World Bank estimate),SI.POV.GINI,New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Nicaragua,NIC,,,,,,,,,,,,,,57.4,,,,,54.4,,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,
GINI index (World Bank estimate),SI.POV.GINI,Niger,NER,,,,,,,,,,,,,36.1,,41.5,,,,,,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,
GINI index (World Bank estimate),SI.POV.GINI,Nigeria,NGA,,,,,,38.7,,,,,,,45,,,,51.9,,,,,,,40.1,,,,,,43,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,,
GINI index (World Bank estimate),SI.POV.GINI,Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Pakistan,PAK,,,,,,,,33.3,,,33.2,,,,,,28.7,,33.1,,,30.4,,,32.5,32.7,,31.6,,,29.8,30.9,,30.7,,,,
GINI index (World Bank estimate),SI.POV.GINI,Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Panama,PAN,,,,,,,,,,58.9,,58.2,,,,57.8,,58.2,57.5,56.5,56.8,56.9,56.2,55.8,54.9,53.9,54.7,52.8,53.4,51.9,51.7,51.4,51.8,51.5,50.6,50.8,50.4,
GINI index (World Bank estimate),SI.POV.GINI,Papua New Guinea,PNG,,,,,,,,,,,,,,,,,55.4,,,,,,,,,,,,,41.9,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Paraguay,PRY,,,,,,,,,,,40.8,,,,,58.2,,54.9,,54.6,,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,
